coeff,ldmc,n,p,sla
670,-0.07332730520267958,-0.6418735760499296,0.049838524217550875,-0.6455097095493664
680,-0.07343215141042451,-0.46698329217110723,0.024605731933303995,-0.6054695383934796
690,-0.040502188419384605,0.2799862718257795,-0.0360887721639367,-0.5283672396072628
700,0.03003304812451717,-0.2851520745968059,-0.08664615346578984,-0.595877251624116
710,0.06455961119864932,-2.0739542505428026,-0.14308820282415133,-0.7562759938655793
720,0.05852784790121479,-3.540246291471344,-0.1712347669763117,-1.3840930337984265
730,0.027070229482569805,-3.1212815777132614,-0.11305486293839341,-1.7860219708889444
740,-0.004126065510129192,-1.2425747179698035,0.024709208481108996,-1.4692417326099227
750,-0.023174340804134882,0.3721172681170095,0.13476355630569425,-0.5736148568863322
760,-0.03406796519771437,1.7907481391589415,0.23155510338368693,0.3430643657045296
770,-0.04036873773310181,2.903110456449064,0.32591849802243567,0.6400437556165708
780,-0.04156527511438907,3.130702026792572,0.33501217537004735,0.8448290040215247
790,-0.03980109793791238,2.9813267170343076,0.31462945328955894,0.8962404070561837
800,-0.03815815310980254,2.8426869693414782,0.29712071586307987,0.9605861352594502
810,-0.03782158225626039,2.7388578237327534,0.2774448875317652,1.1775732404295214
820,-0.037544456026766634,2.6395600184869847,0.2590355517592647,1.4309088552660234
830,-0.03555195350996933,2.4890972376560696,0.24152527672264978,1.4004829491917758
840,-0.03377805300773129,2.3563839146962335,0.22624251512932333,1.3714689608668178
850,-0.032733150889490074,2.263024313420126,0.2116786044842365,1.4092379999037767
860,-0.02982165413042348,2.0854579117976058,0.19403221326804027,1.3005873013146496
870,-0.02915242752233429,1.9558746186826905,0.17518147942364642,1.4878853614551404
880,-0.02676383107638318,1.8061734748627365,0.1556365180385666,1.5119000424841378
890,-0.024396893048574175,1.642770295787684,0.13821234196531268,1.4302075886929386
900,-0.020634987975039938,1.4305526384063423,0.11695605502696474,1.2805151801677388
910,-0.018165269894262592,1.23594126462441,0.09797356476656777,1.2668438176196495
920,-0.01774128335312931,1.1484042663073146,0.08306901189889396,1.4740897157341113
930,-0.01546370772601226,0.9870849891407714,0.065123232767311,1.5218526265085792
940,-0.010683895179489053,0.7318756614624693,0.04182906641505093,1.4163816025832026
950,-0.004016741520808136,0.39055208520380746,0.014714797012716288,1.298245227272723
960,0.0022535786799889614,0.10786760837389667,-0.00795546010181179,0.97421925686583
970,0.004723240910575913,-0.033342832399817654,-0.022898119747237544,0.9285759450376173
980,0.006085096204403307,-0.16294562438030452,-0.03576530222416685,0.8806466726976974
